name;type
LVMH CSC > After Sales;CSC
LVMH CSC > After Sales > Internal Policy;CSC
LVMH CSC > After Sales > Refund;CSC
LVMH CSC > After Sales > Repair;CSC
LVMH CSC > After Sales > Return/Exchange;CSC
LVMH CSC > After Sales > Warranty;CSC
LVMH CSC > Brand;CSC
LVMH CSC > Brand > General;CSC
LVMH CSC > Checkout;CSC
LVMH CSC > Checkout > Canceled Orders;CSC
LVMH CSC > Checkout > General;CSC
LVMH CSC > Customer Experience;CSC
LVMH CSC > Customer Experience > General;CSC
LVMH CSC > Customer Service;CSC
LVMH CSC > Customer Service > Advisor Attitude;CSC
LVMH CSC > Customer Service > Advisor Expertise;CSC
LVMH CSC > Customer Service > Commitment Of Promise;CSC
LVMH CSC > Customer Service > General;CSC
LVMH CSC > Customer Service > Language Proficiency;CSC
LVMH CSC > Customer Service > Proactivity;CSC
LVMH CSC > Customer Service > Reachability;CSC
LVMH CSC > Customer Service > Response Efficiency;CSC
LVMH CSC > Customer Service > Response Time;CSC
LVMH CSC > Delivery;CSC
LVMH CSC > Delivery > Carrier;CSC
LVMH CSC > Delivery > Delivery Status;CSC
LVMH CSC > Delivery > Follow Up;CSC
LVMH CSC > Delivery > General;CSC
LVMH CSC > Delivery > Lost Parcel;CSC
LVMH CSC > Delivery > Order Error;CSC
LVMH CSC > Delivery > Price;CSC
LVMH CSC > Delivery > Time;CSC
LVMH CSC > Free Gifts;CSC
LVMH CSC > Free Gifts > General;CSC
LVMH CSC > N/A;CSC
LVMH CSC > Omnichannel Experience;CSC
LVMH CSC > Omnichannel Experience > Online;CSC
LVMH CSC > Omnichannel Experience > Remote Sale;CSC
LVMH CSC > Omnichannel Experience > Store Experience;CSC
LVMH CSC > Packaging;CSC
LVMH CSC > Packaging > General;CSC
LVMH CSC > Packaging > Quality;CSC
LVMH CSC > Price;CSC
LVMH CSC > Price > Discounts;CSC
LVMH CSC > Price > General;CSC
LVMH CSC > Price > Price Increase;CSC
LVMH CSC > Product;CSC
LVMH CSC > Product > Assortment;CSC
LVMH CSC > Product > Customization;CSC
LVMH CSC > Product > Design;CSC
LVMH CSC > Product > General;CSC
LVMH CSC > Product > Quality;CSC
LVMH CSC > Product > Size;CSC
LVMH CSC > Stock;CSC
LVMH CSC > Stock > General;CSC
LVMH Delivery > After Sales;Delivery
LVMH Delivery > After Sales > Refund;Delivery
LVMH Delivery > After Sales > Return/Exchange;Delivery
LVMH Delivery > Brand;Delivery
LVMH Delivery > Brand > General;Delivery
